id,Skill_Rating,Skill,Worker,
1,4.42898919553936,HTML/CSS,1,
3,3.8986810005726,JAVASCRIPT,1,
4,2.10108799377815,PYTHON,1,
5,2.10275601672775,PHP,1,
6,2.05894815456868,fluter,2,
7,4.41809826396184,JAVA,2,
8,4.10929112753385,Python,3,
9,2.6471553191648,R,3,
10,2.48343994176622,HADOOP,3,
11,3.76194336297652,HTML/CSS,4,
13,2.00983681203671,JAVASCRIPT,4,
14,3.42842413006222,React,4,
15,3.24221588636378,Angular,4,
16,2.52309700106247,Swift,5,
17,2.27145479999167,Objective-C,5,
18,4.92160464674026,Java,5,
19,4.14283064239683,MySQL,6,
20,3.3260279197746,MongoDB,6,
21,2.77711955983404,JavaScript,6,
22,2.51927465833989,HTML/CSS,7,
24,4.71880455024939,PHP,7,
25,3.09446103205888,Python,8,
26,2.362198010828,Django,8,
27,2.23179268282814,Flask,8,
28,4.62099011801546,HTML/CSS,9,
30,3.12314040974121,JavaScript,9,
31,4.58153366518953,Python,10,
32,3.43550436723732,Java,10,
33,3.11587616383672,Scala,10,
34,3.66481510337811,HTML/CSS,11,
36,3.4934008908257,JavaScript,11,
37,3.0293979272634,Python,12,
38,3.49268469557891,C++,12,
39,3.15749697175379,Java,12,
40,2.16322989945089,HTML/CSS,13,
42,4.50879089824589,JavaScript,13,
43,2.63880624720228,Python,14,
44,2.40992829838935,Ruby,14,
45,4.52522589501776,Java,14,
46,2.50524058136737,HTML/CSS,15,
48,3.4536212457833,JavaScript,15,
49,2.51978802117026,Python,16,
50,2.6059211599226,Ruby,16,
51,2.20997732717731,Java,16,
52,4.87956993622391,HTML/CSS,17,
54,2.6169999107421,JavaScript,17,
55,2.86560069683449,Python,18,
56,4.89731270811264,Java,18,
57,3.42452213394956,Scala,18,
58,2.03380161752287,HTML/CSS,19,
60,3.24372948895851,JavaScript,19,
61,4.05868384753166,Python,20,
62,4.29320517785665,C++,20,
63,2.6375472977758,Java,20,
64,2.14407574739933,HTML/CSS,21,
66,2.37596343924496,JavaScript,21,
67,2.11749415121952,Python,22,
68,3.97022671895808,Ruby,22,
69,4.07927702786341,Java,22,
70,2.77605337652121,HTML/CSS,23,
71,3.52672640922965,JavaScript,23,
72,3.06311411093808,Python,24,
73,3.27966576301542,C++,24,
74,3.12968538350334,Java,24,
75,3.88365551008933,HTML/CSS,25,
77,4.21598655625155,JavaScript,25,
78,3.39427596063846,Python,26,
79,2.81764990528512,Ruby,26,
80,3.83221670056115,Java,26,
81,3.3086601218597,HTML/CSS,27,
83,4.64780324451121,JavaScript,27,
84,4.35474181574426,Python,28,
85,3.18243667423101,Java,28,
86,3.59815046983112,Scala,28,
87,4.42671525644299,HTML/CSS,29,
89,2.76430491098104,JavaScript,29,
90,3.26695023588547,Python,30,
91,2.57681633851225,C++,30,
92,4.77237776665722,Java,30,
93,4.57116812768227,HTML/CSS,31,
95,3.15288553768599,JavaScript,31,
96,2.50359690691733,Python,32,
97,3.93227651232362,Java,32,
98,3.44953087657974,Scala,32,
99,3.36402947237655,HTML/CSS,33,
101,4.51618021996883,JavaScript,33,
102,4.58512777238408,Python,34,
103,4.03498553864734,Ruby,34,
104,2.47772260614012,Java,34,
105,4.71030643002131,HTML/CSS,35,
107,4.65124153749407,JavaScript,35,
108,3.65618052773514,Python,36,
109,3.37739783773625,C++,36,
110,4.02288189644535,Java,36,
111,3.2562779282406,HTML/CSS,37,
113,2.12498470656891,JavaScript,37,
114,4.59221924226871,Python,38,
115,2.70879210163567,Java,38,
116,4.58366209393114,Scala,38,
117,4.7203086045342,HTML/CSS,39,
119,3.88977997861334,JavaScript,39,
120,4.44367434889285,Python,40,
121,2.16618206893419,C++,40,
122,3.74905788703489,Java,40,
123,3.01360300381231,HTML/CSS,41,
125,4.75858063768263,JavaScript,41,
126,4.91160902685317,Python,42,
127,4.61104911058332,Java,42,
128,3.27756145465175,Scala,42,
129,4.75170345778045,HTML/CSS,43,
131,2.85585270411912,JavaScript,43,
132,2.96054654251483,Python,44,
133,4.91963155772731,Ruby,44,
134,3.13686871947045,Java,44,
135,2.9700685746748,HTML/CSS,45,
137,2.76992772421391,JavaScript,45,
138,3.9013210020911,Python,46,
139,4.22330033298491,C++,46,
140,2.82995873424674,Java,46,
141,2.39095013067643,HTML/CSS,47,
143,2.69488877476058,JavaScript,47,
144,4.43057212733677,Python,48,
145,3.91909412275569,Java,48,
146,4.05240284244029,Scala,48,
147,4.79942637002129,HTML/CSS,49,
149,2.01524378660846,JavaScript,49,
150,2.06235794446198,Python,50,
151,2.96807972941477,C++,50,
